publishTime,startTime,generation_fcst,horizon,generation_act,abs_error,hour
2024-01-31 18:30:00+00:00,2024-01-31 23:00:00+00:00,17275,4.5,14595,2680,23
2024-01-31 15:30:00+00:00,2024-01-31 21:00:00+00:00,17887,5.5,15757,2130,21
2024-01-31 15:30:00+00:00,2024-01-31 22:00:00+00:00,17660,6.5,15490,2170,22
2024-01-31 15:30:00+00:00,2024-01-31 23:00:00+00:00,17263,7.5,14595,2668,23
2024-01-31 11:30:00+00:00,2024-01-31 21:00:00+00:00,17796,9.5,15757,2039,21
2024-01-31 11:30:00+00:00,2024-01-31 22:00:00+00:00,17572,10.5,15490,2082,22
2024-01-31 11:30:00+00:00,2024-01-31 23:00:00+00:00,17176,11.5,14595,2581,23
2024-01-31 09:30:00+00:00,2024-01-31 21:00:00+00:00,17813,11.5,15757,2056,21
2024-01-31 09:30:00+00:00,2024-01-31 22:00:00+00:00,17586,12.5,15490,2096,22
2024-01-31 09:30:00+00:00,2024-01-31 23:00:00+00:00,17183,13.5,14595,2588,23
2024-01-31 07:30:00+00:00,2024-01-31 21:00:00+00:00,17813,13.5,15757,2056,21
2024-01-31 07:30:00+00:00,2024-01-31 22:00:00+00:00,17586,14.5,15490,2096,22
2024-01-31 07:30:00+00:00,2024-01-31 23:00:00+00:00,17185,15.5,14595,2590,23
2024-01-31 04:30:00+00:00,2024-01-31 21:00:00+00:00,17739,16.5,15757,1982,21
2024-01-31 04:30:00+00:00,2024-01-31 22:00:00+00:00,17550,17.5,15490,2060,22
2024-01-31 04:30:00+00:00,2024-01-31 23:00:00+00:00,17152,18.5,14595,2557,23
2024-01-31 02:30:00+00:00,2024-01-31 21:00:00+00:00,17741,18.5,15757,1984,21
2024-01-31 02:30:00+00:00,2024-01-31 22:00:00+00:00,17553,19.5,15490,2063,22
2024-01-31 02:30:00+00:00,2024-01-31 23:00:00+00:00,17156,20.5,14595,2561,23
2024-01-30 22:30:00+00:00,2024-01-31 03:00:00+00:00,11477,4.5,8175,3302,3
2024-01-30 22:30:00+00:00,2024-01-31 04:00:00+00:00,12053,5.5,8687,3366,4
2024-01-30 22:30:00+00:00,2024-01-31 05:00:00+00:00,12822,6.5,9519,3303,5
2024-01-30 22:30:00+00:00,2024-01-31 06:00:00+00:00,13307,7.5,10509,2798,6
2024-01-30 22:30:00+00:00,2024-01-31 07:00:00+00:00,13909,8.5,11728,2181,7
2024-01-30 22:30:00+00:00,2024-01-31 08:00:00+00:00,14561,9.5,12836,1725,8
2024-01-30 22:30:00+00:00,2024-01-31 09:00:00+00:00,14912,10.5,13747,1165,9
2024-01-30 22:30:00+00:00,2024-01-31 10:00:00+00:00,15453,11.5,14183,1270,10
2024-01-30 22:30:00+00:00,2024-01-31 11:00:00+00:00,14782,12.5,14352,430,11
2024-01-30 22:30:00+00:00,2024-01-31 12:00:00+00:00,15656,13.5,15177,479,12
