publishTime,startTime,generation_forecast,generation_actual,forecast_horizon_hours,error,abs_error,rel_error,hour
2024-01-31 18:30:00+00:00,2024-01-31 23:00:00+00:00,17275,14595,4.5,2680,2680,18.362452894826994,23
2024-01-31 15:30:00+00:00,2024-01-31 21:00:00+00:00,17887,15757,5.5,2130,2130,13.517801611981975,21
2024-01-31 15:30:00+00:00,2024-01-31 22:00:00+00:00,17660,15490,6.5,2170,2170,14.009038089089735,22
2024-01-31 15:30:00+00:00,2024-01-31 23:00:00+00:00,17263,14595,7.5,2668,2668,18.28023295649195,23
2024-01-31 11:30:00+00:00,2024-01-31 21:00:00+00:00,17796,15757,9.5,2039,2039,12.940280510249414,21
2024-01-31 11:30:00+00:00,2024-01-31 22:00:00+00:00,17572,15490,10.5,2082,2082,13.440929632020659,22
2024-01-31 11:30:00+00:00,2024-01-31 23:00:00+00:00,17176,14595,11.5,2581,2581,17.684138403562862,23
2024-01-31 09:30:00+00:00,2024-01-31 21:00:00+00:00,17813,15757,11.5,2056,2056,13.048169067715937,21
2024-01-31 09:30:00+00:00,2024-01-31 22:00:00+00:00,17586,15490,12.5,2096,2096,13.53131052291801,22
2024-01-31 09:30:00+00:00,2024-01-31 23:00:00+00:00,17183,14595,13.5,2588,2588,17.73210003425831,23
2024-01-31 07:30:00+00:00,2024-01-31 21:00:00+00:00,17813,15757,13.5,2056,2056,13.048169067715937,21
2024-01-31 07:30:00+00:00,2024-01-31 22:00:00+00:00,17586,15490,14.5,2096,2096,13.53131052291801,22
2024-01-31 07:30:00+00:00,2024-01-31 23:00:00+00:00,17185,14595,15.5,2590,2590,17.74580335731415,23
2024-01-31 04:30:00+00:00,2024-01-31 21:00:00+00:00,17739,15757,16.5,1982,1982,12.578536523449896,21
2024-01-31 04:30:00+00:00,2024-01-31 22:00:00+00:00,17550,15490,17.5,2060,2060,13.298902517753389,22
2024-01-31 04:30:00+00:00,2024-01-31 23:00:00+00:00,17152,14595,18.5,2557,2557,17.51969852689277,23
2024-01-31 02:30:00+00:00,2024-01-31 21:00:00+00:00,17741,15757,18.5,1984,1984,12.591229294916545,21
2024-01-31 02:30:00+00:00,2024-01-31 22:00:00+00:00,17553,15490,19.5,2063,2063,13.318269851517108,22
2024-01-31 02:30:00+00:00,2024-01-31 23:00:00+00:00,17156,14595,20.5,2561,2561,17.547105173004454,23
2024-01-30 22:30:00+00:00,2024-01-31 03:00:00+00:00,11477,8175,4.5,3302,3302,40.3914373088685,3
2024-01-30 22:30:00+00:00,2024-01-31 04:00:00+00:00,12053,8687,5.5,3366,3366,38.74755381604697,4
2024-01-30 22:30:00+00:00,2024-01-31 05:00:00+00:00,12822,9519,6.5,3303,3303,34.69902300661834,5
2024-01-30 22:30:00+00:00,2024-01-31 06:00:00+00:00,13307,10509,7.5,2798,2798,26.624797792368447,6
2024-01-30 22:30:00+00:00,2024-01-31 07:00:00+00:00,13909,11728,8.5,2181,2181,18.59652114597544,7
2024-01-30 22:30:00+00:00,2024-01-31 08:00:00+00:00,14561,12836,9.5,1725,1725,13.438765970707387,8
2024-01-30 22:30:00+00:00,2024-01-31 09:00:00+00:00,14912,13747,10.5,1165,1165,8.47457627118644,9
2024-01-30 22:30:00+00:00,2024-01-31 10:00:00+00:00,15453,14183,11.5,1270,1270,8.954382006627652,10
2024-01-30 22:30:00+00:00,2024-01-31 11:00:00+00:00,14782,14352,12.5,430,430,2.9960981047937567,11
2024-01-30 22:30:00+00:00,2024-01-31 12:00:00+00:00,15656,15177,13.5,479,479,3.156091454174079,12
